text,intent
'Привет',GREETING
'Здравствуй',GREETING
'Здравствуйте',GREETING
'Добрый день',GREETING
'Доброе утро',GREETING
'Добрый вечер',GREETING
'Хай',GREETING
'Хеллоу',GREETING
'Салют',GREETING
'Здорова',GREETING
'Приветствую вас',GREETING
'Рад вас видеть',GREETING
'Приветик',GREETING
'Здравствуйте здравствуйте',GREETING
'Доброго времени суток',GREETING
'Мое почтение',GREETING
'Приветствую',GREETING
'Здравствуй дорогой',GREETING
'С добрым утром',GREETING
'Доброй ночи',GREETING
'Всем привет',GREETING
'Привет всем',GREETING
'Здравствуйте всем',GREETING
'Добрый день всем',GREETING
'Привет как дела',GREETING
'Здравствуй как ты',GREETING
'Приветствую тебя',GREETING
'Здорово',GREETING
'Привет привет',GREETING
'Здравствуйте здравствуйте',GREETING
'Добрый добрый день',GREETING
'С приветом',GREETING
'Хэллоу',GREETING
'Йоу',GREETING
'Хай хай',GREETING
'Хелло',GREETING
'Приветище',GREETING
'Здравствуй солнце',GREETING
'Добрый день друг',GREETING
'Добрый вечер друг',GREETING
'Привет друг',GREETING
'Здравствуйте друг',GREETING
'Салам',GREETING
'Ассаламу алейкум',GREETING
'Шалом',GREETING
'Гутен таг',GREETING
'Бонжур',GREETING
'Чао',GREETING
'Ола',GREETING
'Сида',GREETING
'Намасте',GREETING
'Привет как жизнь',GREETING
'Здравствуй как поживаешь',GREETING
'Как сам',GREETING
'Приветствую дорогой',GREETING
'Здравствуйте уважаемый',GREETING
'Добрый день уважаемый',GREETING
'Привет красавчик',GREETING
'Здравствуй красавица',GREETING
'Хай как ты',GREETING
'Хелло как дела',GREETING
'Привет норм',GREETING
'Здравствуй норм',GREETING
'Приветики',GREETING
'Приветули',GREETING
'Здравствуйте батюшка',GREETING
'Доброго здоровья',GREETING
'Доброго здоровья барин',GREETING
'Чекай',GREETING
'Слушай',GREETING
'Послушай',GREETING
'Внимание',GREETING
'Есть кто',GREETING
'Тут есть кто',GREETING
'Ало',GREETING
'Алло',GREETING
'Слушаю',GREETING
'На связи',GREETING
'На проводе',GREETING
'Добрый день я тут',GREETING
'Привет я здесь',GREETING
'Здравствуйте я здесь',GREETING
'Привет это я',GREETING
'Здравствуй это я',GREETING
'Добрый день это я',GREETING
'Приветствую вас друзья',GREETING
'Всем здравствуйте',GREETING
'Здоровеньки булы',GREETING
'Здорово братан',GREETING
'Привет бро',GREETING
'Здравствуйте коллеги',GREETING
'Привет коллега',GREETING
'Добрый день коллеги',GREETING
'С добрым утром коллеги',GREETING
'Добрый вечер коллеги',GREETING
'Всем добрый день',GREETING
'Всем доброе утро',GREETING
'Всем добрый вечер',GREETING
'Пока',GOODBYE
'Прощай',GOODBYE
'До свидания',GOODBYE
'Всего хорошего',GOODBYE
'Всего доброго',GOODBYE
'До встречи',GOODBYE
'До скорого',GOODBYE
'До завтра',GOODBYE
'До вечера',GOODBYE
'До связи',GOODBYE
'Увидимся',GOODBYE
